NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_IDENTICAL_PROTEIN_BINDING	GOMF_IDENTICAL_PROTEIN_BINDING	Details ...	208	0.9956865	1.1775709	0.0	0.010076918	0.01	0	tags=0%, list=0%, signal=0%	
ZNF30_TARGET_GENES	ZNF30_TARGET_GENES	Details ...	187	0.99368423	1.1603439	0.0011135858	0.47134203	0.618	11	tags=2%, list=1%, signal=1%	
SCGGAAGY_ELK1_02	SCGGAAGY_ELK1_02	Details ...	196	0.98021233	1.1530904	0.069536425	1.0	0.974	26	tags=3%, list=2%, signal=2%	
HAMAI_APOPTOSIS_VIA_TRAIL_UP	HAMAI_APOPTOSIS_VIA_TRAIL_UP	Details ...	122	0.9853449	1.1476955	0.054455444	1.0	1.0	2	tags=2%, list=0%, signal=2%	
GOBP_VESICLE_MEDIATED_TRANSPORT	GOBP_VESICLE_MEDIATED_TRANSPORT	Details ...	226	0.97237414	1.1475011	0.10378379	1.0	1.0	29	tags=4%, list=2%, signal=3%	
FEV_TARGET_GENES	FEV_TARGET_GENES	Details ...	209	0.9766134	1.1440293	0.09933775	1.0	1.0	13	tags=1%, list=1%, signal=1%	
MIR12136	MIR12136	Details ...	153	0.9873281	1.1432363	0.030516433	1.0	1.0	5	tags=1%, list=0%, signal=1%	
MIR548E_5P	MIR548E_5P	Details ...	123	0.99664205	1.1421074	0.0048076925	1.0	1.0	5	tags=1%, list=0%, signal=1%	
DIDO1_TARGET_GENES	DIDO1_TARGET_GENES	Details ...	166	0.99031806	1.1418884	0.01847575	1.0	1.0	15	tags=1%, list=1%, signal=1%	
ZSCAN5DP_TARGET_GENES	ZSCAN5DP_TARGET_GENES	Details ...	175	0.97739726	1.1417719	0.12294182	1.0	1.0	29	tags=2%, list=2%, signal=2%	
SUPT20H_TARGET_GENES	SUPT20H_TARGET_GENES	Details ...	156	0.9878155	1.1414921	0.027522936	1.0	1.0	3	tags=1%, list=0%, signal=1%	
BLALOCK_ALZHEIMERS_DISEASE_UP	BLALOCK_ALZHEIMERS_DISEASE_UP	Details ...	244	0.9739817	1.1409998	0.08108108	1.0	1.0	34	tags=3%, list=2%, signal=3%	
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN	NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN	Details ...	135	0.9981238	1.1406759	0.0011848342	1.0	1.0	2	tags=1%, list=0%, signal=1%	
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	Details ...	197	0.9746345	1.140335	0.097862765	1.0	1.0	20	tags=4%, list=1%, signal=3%	
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	Details ...	133	0.9918709	1.1401075	0.020833334	1.0	1.0	2	tags=2%, list=0%, signal=1%	
GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_TRANSPORT	Details ...	119	0.9979906	1.1396683	0.0049875313	1.0	1.0	3	tags=1%, list=0%, signal=1%	
SFMBT1_TARGET_GENES	SFMBT1_TARGET_GENES	Details ...	204	0.9693217	1.1380594	0.15801105	1.0	1.0	20	tags=2%, list=1%, signal=2%	
GOCC_SECRETORY_GRANULE	GOCC_SECRETORY_GRANULE	Details ...	163	0.9855073	1.1364455	0.035067875	1.0	1.0	26	tags=4%, list=2%, signal=3%	
HP_ABNORMALITY_OF_THE_CURVATURE_OF_THE_VERTEBRAL_COLUMN	HP_ABNORMALITY_OF_THE_CURVATURE_OF_THE_VERTEBRAL_COLUMN	Details ...	150	0.986896	1.1361581	0.054567024	1.0	1.0	7	tags=1%, list=0%, signal=1%	
HOXA2_TARGET_GENES	HOXA2_TARGET_GENES	Details ...	195	0.9753504	1.135716	0.096345514	1.0	1.0	31	tags=3%, list=2%, signal=2%	
HP_ABNORMAL_JOINT_MORPHOLOGY	HP_ABNORMAL_JOINT_MORPHOLOGY		116	0.99532086	1.1353688	0.014760148	1.0	1.0	7	tags=1%, list=0%, signal=1%	
MGGAAGTG_GABP_B	MGGAAGTG_GABP_B		116	0.9925046	1.1349844	0.02875	1.0	1.0	6	tags=3%, list=0%, signal=3%	
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING	GOMF_SEQUENCE_SPECIFIC_DNA_BINDING		117	0.99186105	1.1342585	0.01532567	1.0	1.0	7	tags=2%, list=0%, signal=2%	
GOCC_CHROMOSOME	GOCC_CHROMOSOME		182	0.97011155	1.1342294	0.18863636	1.0	1.0	7	tags=1%, list=0%, signal=1%	
GOCC_TRANSFERASE_COMPLEX	GOCC_TRANSFERASE_COMPLEX		111	0.99866754	1.1337292	0.0023809525	1.0	1.0	3	tags=2%, list=0%, signal=2%	
MIR335_3P	MIR335_3P		117	0.98175406	1.1330448	0.13916256	1.0	1.0	23	tags=3%, list=1%, signal=3%	
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS		189	0.97576755	1.1327313	0.12627986	1.0	1.0	7	tags=1%, list=0%, signal=1%	
LOPEZ_MBD_TARGETS	LOPEZ_MBD_TARGETS		186	0.9754002	1.1326808	0.117256634	1.0	1.0	34	tags=5%, list=2%, signal=4%	
CHAF1B_TARGET_GENES	CHAF1B_TARGET_GENES		136	0.9835583	1.1312808	0.08225617	1.0	1.0	18	tags=1%, list=1%, signal=1%	
MAFG_TARGET_GENES	MAFG_TARGET_GENES		214	0.9670046	1.1303955	0.17802198	1.0	1.0	23	tags=2%, list=1%, signal=2%	
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX	GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX		187	0.9646313	1.1287521	0.21734235	1.0	1.0	11	tags=1%, list=1%, signal=1%	
BENPORATH_NANOG_TARGETS	BENPORATH_NANOG_TARGETS		158	0.97533053	1.1284441	0.14767441	1.0	1.0	31	tags=5%, list=2%, signal=5%	
BRCA2_TARGET_GENES	BRCA2_TARGET_GENES		182	0.9721274	1.1279825	0.16204217	1.0	1.0	33	tags=4%, list=2%, signal=3%	
OSMAN_BLADDER_CANCER_UP	OSMAN_BLADDER_CANCER_UP		124	0.98468477	1.1276797	0.08639053	1.0	1.0	17	tags=3%, list=1%, signal=3%	
JOHNSTONE_PARVB_TARGETS_3_DN	JOHNSTONE_PARVB_TARGETS_3_DN		159	0.97293603	1.1273674	0.18171297	1.0	1.0	21	tags=3%, list=1%, signal=2%	
SHEN_SMARCA2_TARGETS_UP	SHEN_SMARCA2_TARGETS_UP		121	0.97858006	1.127344	0.18116806	1.0	1.0	4	tags=2%, list=0%, signal=2%	
GOBP_CHROMOSOME_ORGANIZATION	GOBP_CHROMOSOME_ORGANIZATION		155	0.9875022	1.1272727	0.028835064	1.0	1.0	11	tags=2%, list=1%, signal=2%	
TGANTCA_AP1_C	TGANTCA_AP1_C		112	0.98253274	1.1270133	0.1491228	1.0	1.0	15	tags=2%, list=1%, signal=2%	
EWSR1_TARGET_GENES	EWSR1_TARGET_GENES		117	0.9866221	1.126978	0.07852761	1.0	1.0	20	tags=1%, list=1%, signal=1%	
ZNF8_TARGET_GENES	ZNF8_TARGET_GENES		110	0.9946738	1.1266081	0.019035533	1.0	1.0	9	tags=2%, list=1%, signal=2%	
HP_ABNORMALITY_OF_FINGER	HP_ABNORMALITY_OF_FINGER		129	0.97683436	1.1254162	0.19634147	1.0	1.0	7	tags=1%, list=0%, signal=1%	
TEAD2_TARGET_GENES	TEAD2_TARGET_GENES		209	0.95461226	1.1251397	0.26179776	1.0	1.0	12	tags=2%, list=1%, signal=2%	
MIR1277_5P	MIR1277_5P		121	0.9813117	1.1242293	0.15	1.0	1.0	29	tags=3%, list=2%, signal=3%	
INSM2_TARGET_GENES	INSM2_TARGET_GENES		98	0.99034023	1.123632	0.06447535	1.0	1.0	0	tags=1%, list=0%, signal=1%	
MIR548AR_3P	MIR548AR_3P		107	0.9909145	1.1234841	0.04219949	1.0	1.0	7	tags=3%, list=0%, signal=3%	
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_28DY_UP	THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_28DY_UP		142	0.9798906	1.1233301	0.14018692	1.0	1.0	7	tags=2%, list=0%, signal=2%	
PUJANA_CHEK2_PCC_NETWORK	PUJANA_CHEK2_PCC_NETWORK		138	0.98649484	1.1229739	0.053398058	1.0	1.0	1	tags=1%, list=0%, signal=1%	
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP		125	0.9843319	1.1227434	0.09015421	1.0	1.0	22	tags=4%, list=1%, signal=4%	
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_UP	NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_UP		101	0.98941094	1.12194	0.0707196	1.0	1.0	18	tags=3%, list=1%, signal=3%	
CC2D1A_TARGET_GENES	CC2D1A_TARGET_GENES		129	0.9884091	1.1218168	0.037439615	1.0	1.0	13	tags=2%, list=1%, signal=2%	
HP_ABNORMALITY_OF_THE_LIVER	HP_ABNORMALITY_OF_THE_LIVER		110	0.9833556	1.1217387	0.12903225	1.0	1.0	26	tags=2%, list=2%, signal=2%	
HOUNKPE_HOUSEKEEPING_GENES	HOUNKPE_HOUSEKEEPING_GENES		256	0.94885683	1.1215605	0.2513369	1.0	1.0	32	tags=2%, list=2%, signal=2%	
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II		119	0.9759652	1.1214894	0.21648216	1.0	1.0	7	tags=2%, list=0%, signal=2%	
ZNF146_TARGET_GENES	ZNF146_TARGET_GENES		146	0.978605	1.1213802	0.15384616	1.0	1.0	30	tags=4%, list=2%, signal=4%	
ZNF449_TARGET_GENES	ZNF449_TARGET_GENES		153	0.9671534	1.1212428	0.24970554	1.0	1.0	21	tags=3%, list=1%, signal=2%	
MIR3658	MIR3658		120	0.9742097	1.1212407	0.23345368	1.0	1.0	17	tags=2%, list=1%, signal=2%	
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_7DY_UP	THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_7DY_UP		133	0.9867218	1.1212028	0.06666667	1.0	1.0	22	tags=3%, list=1%, signal=3%	
HP_ABNORMAL_CEREBRAL_VENTRICLE_MORPHOLOGY	HP_ABNORMAL_CEREBRAL_VENTRICLE_MORPHOLOGY		109	0.9853626	1.1208546	0.07795372	1.0	1.0	24	tags=3%, list=1%, signal=3%	
MIR3662	MIR3662		138	0.97435075	1.1206725	0.18505338	1.0	1.0	33	tags=5%, list=2%, signal=5%	
