NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	Details ...	383	0.9925434	1.1054972	0.038176034	0.036705237	0.036	11	tags=1%, list=1%, signal=1%	
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	Details ...	298	0.9926343	1.0965061	0.056399133	0.19120003	0.33	11	tags=1%, list=1%, signal=1%	
UBN1_TARGET_GENES	UBN1_TARGET_GENES	Details ...	242	0.99925816	1.0907333	0.0034013605	0.6508626	0.88	2	tags=1%, list=0%, signal=1%	
BLALOCK_ALZHEIMERS_DISEASE_UP	BLALOCK_ALZHEIMERS_DISEASE_UP	Details ...	232	0.9945789	1.0901116	0.053348467	0.5726411	0.92	0	tags=0%, list=0%, signal=0%	
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	Details ...	274	0.99240124	1.0898342	0.08517699	0.49503273	0.931	16	tags=3%, list=1%, signal=2%	
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	Details ...	230	0.9928493	1.0897533	0.08558559	0.42053735	0.936	8	tags=2%, list=1%, signal=2%	
GOMF_MOLECULAR_FUNCTION_REGULATOR	GOMF_MOLECULAR_FUNCTION_REGULATOR	Details ...	208	0.9942113	1.0861742	0.062206574	0.7957434	0.998	10	tags=1%, list=1%, signal=1%	
BUSSLINGER_GASTRIC_IMMUNE_CELLS	BUSSLINGER_GASTRIC_IMMUNE_CELLS	Details ...	426	0.9835623	1.0852654	0.23415133	0.8217989	1.0	23	tags=3%, list=1%, signal=2%	
NFE2L1_TARGET_GENES	NFE2L1_TARGET_GENES	Details ...	287	0.99155796	1.085095	0.08125677	0.7513925	1.0	12	tags=1%, list=1%, signal=1%	
GOBP_PROTEOLYSIS	GOBP_PROTEOLYSIS	Details ...	212	0.99709725	1.0847864	0.022753129	0.7144312	1.0	4	tags=0%, list=0%, signal=0%	
NFRKB_TARGET_GENES	NFRKB_TARGET_GENES	Details ...	302	0.9891963	1.0841987	0.17381974	0.713396	1.0	12	tags=2%, list=1%, signal=1%	
GOBP_PHOSPHORYLATION	GOBP_PHOSPHORYLATION	Details ...	225	0.99107015	1.0835304	0.16055046	0.7337057	1.0	13	tags=2%, list=1%, signal=2%	
BARX2_TARGET_GENES	BARX2_TARGET_GENES	Details ...	210	0.9927536	1.0827376	0.11046512	0.7614656	1.0	10	tags=0%, list=1%, signal=0%	
ZNF407_TARGET_GENES	ZNF407_TARGET_GENES	Details ...	251	0.99327856	1.0825372	0.0640884	0.72554475	1.0	11	tags=1%, list=1%, signal=1%	
GCM2_TARGET_GENES	GCM2_TARGET_GENES	Details ...	230	0.98897064	1.0822453	0.2690992	0.7124459	1.0	18	tags=2%, list=1%, signal=2%	
GOBP_INTRACELLULAR_TRANSPORT	GOBP_INTRACELLULAR_TRANSPORT	Details ...	244	0.99108475	1.0815396	0.1308305	0.73516357	1.0	15	tags=2%, list=1%, signal=1%	
ZBTB7B_TARGET_GENES	ZBTB7B_TARGET_GENES	Details ...	234	0.98940253	1.0805917	0.22779043	0.7855165	1.0	2	tags=0%, list=0%, signal=0%	
TEAD2_TARGET_GENES	TEAD2_TARGET_GENES	Details ...	216	0.9954868	1.0805911	0.041573033	0.74187666	1.0	4	tags=1%, list=0%, signal=1%	
GOBP_PROGRAMMED_CELL_DEATH	GOBP_PROGRAMMED_CELL_DEATH	Details ...	220	0.9914358	1.0792819	0.136	0.82460815	1.0	13	tags=2%, list=1%, signal=2%	
ZNF30_TARGET_GENES	ZNF30_TARGET_GENES	Details ...	177	0.9964615	1.0791306	0.035587188	0.799869	1.0	8	tags=2%, list=1%, signal=2%	
UBP1_TARGET_GENES	UBP1_TARGET_GENES		246	0.9880952	1.0786216	0.28287292	0.80475783	1.0	18	tags=1%, list=1%, signal=1%	
SETX_TARGET_GENES	SETX_TARGET_GENES		230	0.99191177	1.0782565	0.119553074	0.8085197	1.0	11	tags=0%, list=1%, signal=0%	
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	GOBP_MACROMOLECULE_CATABOLIC_PROCESS		203	0.9942322	1.0777528	0.051744886	0.8127381	1.0	10	tags=1%, list=1%, signal=1%	
GOCC_ENDOPLASMIC_RETICULUM	GOCC_ENDOPLASMIC_RETICULUM		227	0.98606014	1.0775933	0.3840909	0.796377	1.0	19	tags=0%, list=1%, signal=0%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		197	0.994257	1.0769973	0.071599044	0.8143244	1.0	10	tags=2%, list=1%, signal=1%	
ELF2_TARGET_GENES	ELF2_TARGET_GENES		199	0.9892731	1.0768564	0.2847302	0.7980199	1.0	10	tags=2%, list=1%, signal=1%	
ZSCAN30_TARGET_GENES	ZSCAN30_TARGET_GENES		225	0.9894584	1.076827	0.23569794	0.77209073	1.0	9	tags=1%, list=1%, signal=1%	
PHF2_TARGET_GENES	PHF2_TARGET_GENES		242	0.9840286	1.0765564	0.38663745	0.7658098	1.0	12	tags=2%, list=1%, signal=2%	
GOMF_RIBONUCLEOTIDE_BINDING	GOMF_RIBONUCLEOTIDE_BINDING		224	0.9919473	1.0763826	0.12671232	0.75059193	1.0	16	tags=3%, list=1%, signal=2%	
GOBP_REGULATION_OF_TRANSPORT	GOBP_REGULATION_OF_TRANSPORT		211	0.9920232	1.0758224	0.13703284	0.77188665	1.0	15	tags=2%, list=1%, signal=2%	
GOBP_CELL_CYCLE	GOBP_CELL_CYCLE		198	0.9927782	1.075144	0.13341205	0.79933524	1.0	6	tags=2%, list=0%, signal=2%	
NUP153_TARGET_GENES	NUP153_TARGET_GENES		236	0.9916843	1.074665	0.14058957	0.8098629	1.0	3	tags=1%, list=0%, signal=1%	
