NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ZNF134_TARGET_GENES	ZNF134_TARGET_GENES	Details ...	243	0.9706355	1.2566134	0.0	0.009929354	0.009	31	tags=2%, list=1%, signal=2%	
ZNF322_TARGET_GENES	ZNF322_TARGET_GENES	Details ...	256	0.96611273	1.234065	0.0	0.48733068	0.644	139	tags=4%, list=3%, signal=4%	
MIR10527_5P	MIR10527_5P	Details ...	221	0.95510316	1.2301042	0.004405286	0.5836282	0.837	142	tags=5%, list=3%, signal=5%	
SNAI1_TARGET_GENES	SNAI1_TARGET_GENES	Details ...	121	0.9767947	1.2279667	0.0036014405	0.58660865	0.92	91	tags=5%, list=2%, signal=5%	
HP_DISPLACEMENT_OF_THE_URETHRAL_MEATUS	HP_DISPLACEMENT_OF_THE_URETHRAL_MEATUS	Details ...	121	0.97918713	1.2279266	0.0011695906	0.47166702	0.92	75	tags=3%, list=2%, signal=3%	
ZNF274_TARGET_GENES	ZNF274_TARGET_GENES	Details ...	273	0.9521781	1.2244788	0.0021436226	0.609162	0.976	120	tags=5%, list=3%, signal=5%	
HP_DYSTONIA	HP_DYSTONIA	Details ...	158	0.9620634	1.2207383	0.014772727	0.8136742	0.998	151	tags=5%, list=4%, signal=5%	
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID	Details ...	170	0.96223867	1.2191081	0.012222222	0.86302304	1.0	61	tags=2%, list=1%, signal=2%	
ENK_UV_RESPONSE_KERATINOCYTE_DN	ENK_UV_RESPONSE_KERATINOCYTE_DN	Details ...	209	0.9474567	1.2145901	0.017897092	1.0	1.0	134	tags=4%, list=3%, signal=4%	
HP_ABNORMALITY_OF_THE_PINNA	HP_ABNORMALITY_OF_THE_PINNA	Details ...	244	0.9426516	1.21405	0.017278617	1.0	1.0	165	tags=5%, list=4%, signal=5%	
MIR9_3P	MIR9_3P	Details ...	141	0.9757435	1.2125838	0.0011792453	1.0	1.0	95	tags=4%, list=2%, signal=4%	
HP_ABNORMAL_EMOTION_AFFECT_BEHAVIOR	HP_ABNORMAL_EMOTION_AFFECT_BEHAVIOR	Details ...	200	0.95200217	1.2123789	0.026548672	1.0	1.0	151	tags=5%, list=4%, signal=4%	
GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	Details ...	150	0.96473604	1.2112752	0.011574074	1.0	1.0	94	tags=3%, list=2%, signal=3%	
HP_SLEEP_DISTURBANCE	HP_SLEEP_DISTURBANCE	Details ...	162	0.96163356	1.2106684	0.004514673	1.0	1.0	151	tags=7%, list=4%, signal=7%	
BARHL1_TARGET_GENES	BARHL1_TARGET_GENES	Details ...	358	0.9396475	1.2102497	0.002089864	1.0	1.0	115	tags=4%, list=3%, signal=4%	
HP_ABNORMAL_PENIS_MORPHOLOGY	HP_ABNORMAL_PENIS_MORPHOLOGY	Details ...	191	0.95613986	1.2085023	0.0154185025	1.0	1.0	134	tags=3%, list=3%, signal=3%	
ZNF213_TARGET_GENES	ZNF213_TARGET_GENES	Details ...	187	0.9509379	1.2076993	0.023755657	1.0	1.0	135	tags=5%, list=3%, signal=5%	
SMTTTTGT_UNKNOWN	SMTTTTGT_UNKNOWN	Details ...	120	0.9786518	1.2072953	0.0	1.0	1.0	30	tags=5%, list=1%, signal=5%	
HP_UPSLANTED_PALPEBRAL_FISSURE	HP_UPSLANTED_PALPEBRAL_FISSURE	Details ...	94	0.98564863	1.2064279	0.0037926675	1.0	1.0	30	tags=2%, list=1%, signal=2%	
GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	Details ...	78	0.99856937	1.206242	0.0	1.0	1.0	6	tags=1%, list=0%, signal=1%	
GOLDRATH_ANTIGEN_RESPONSE	GOLDRATH_ANTIGEN_RESPONSE		114	0.9737022	1.2060338	0.010752688	1.0	1.0	95	tags=4%, list=2%, signal=4%	
